ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2007,MA,Maranhão,2101905,Bequimão,21002436,ESCOLA MUNICIPAL BENEDITA GUSMAO MORAES,-2.43232868146151,-44.7896851412952,finais (6-9),,
2011,MA,Maranhão,2101905,Bequimão,21002436,ESCOLA MUNICIPAL BENEDITA GUSMAO MORAES,-2.43232868146151,-44.7896851412952,iniciais (1-5),,
2009,MA,Maranhão,2101905,Bequimão,21002436,ESCOLA MUNICIPAL BENEDITA GUSMAO MORAES,-2.43232868146151,-44.7896851412952,iniciais (1-5),,
2005,MA,Maranhão,2101905,Bequimão,21002436,ESCOLA MUNICIPAL BENEDITA GUSMAO MORAES,-2.43232868146151,-44.7896851412952,finais (6-9),,
2015,MA,Maranhão,2101905,Bequimão,21002436,ESCOLA MUNICIPAL BENEDITA GUSMAO MORAES,-2.43232868146151,-44.7896851412952,finais (6-9),,
2007,MA,Maranhão,2101905,Bequimão,21002479,ESCOLA MUNICIPAL MIGUEL MARTINS LEMOS,-2.444597,-44.8702701,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21002479,ESCOLA MUNICIPAL MIGUEL MARTINS LEMOS,-2.444597,-44.8702701,finais (6-9),,
2021,MA,Maranhão,2101905,Bequimão,21002479,ESCOLA MUNICIPAL MIGUEL MARTINS LEMOS,-2.444597,-44.8702701,iniciais (1-5),,5.1
2025,MA,Maranhão,2101905,Bequimão,21002479,ESCOLA MUNICIPAL MIGUEL MARTINS LEMOS,-2.444597,-44.8702701,iniciais (1-5),,
2013,MA,Maranhão,2101905,Bequimão,21002479,ESCOLA MUNICIPAL MIGUEL MARTINS LEMOS,-2.444597,-44.8702701,finais (6-9),,
2009,MA,Maranhão,2101905,Bequimão,21002622,UNIDADE INTEGRADA CENTRINHO DE SANTANA,-2.445071,-44.7252961,finais (6-9),,
2005,MA,Maranhão,2101905,Bequimão,21002622,UNIDADE INTEGRADA CENTRINHO DE SANTANA,-2.445071,-44.7252961,finais (6-9),,
2011,MA,Maranhão,2101905,Bequimão,21002622,UNIDADE INTEGRADA CENTRINHO DE SANTANA,-2.445071,-44.7252961,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21002622,UNIDADE INTEGRADA CENTRINHO DE SANTANA,-2.445071,-44.7252961,finais (6-9),,
2005,MA,Maranhão,2101905,Bequimão,21002630,UNIDADE INTEGRADA PARICATIUA,-2.41132820025086,-44.7349627129734,iniciais (1-5),,
2005,MA,Maranhão,2101905,Bequimão,21002690,ESCOLA MUNICIPAL RAIMUNDA PAIXAO RIBEIRO,-2.4449722,-44.7794622,iniciais (1-5),,
2007,MA,Maranhão,2101905,Bequimão,21002738,ESCOLA MUNICIPAL RUI BARBOSA,-2.35790982842445,-44.7960396297276,iniciais (1-5),,
2013,MA,Maranhão,2101905,Bequimão,21002932,UNIDADE INTEGRADA CENTRINHO DE BURITIZEIRA,-2.56415351293981,-44.7971954103559,iniciais (1-5),,
2017,MA,Maranhão,2101905,Bequimão,21002932,UNIDADE INTEGRADA CENTRINHO DE BURITIZEIRA,-2.56415351293981,-44.7971954103559,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21002932,UNIDADE INTEGRADA CENTRINHO DE BURITIZEIRA,-2.56415351293981,-44.7971954103559,iniciais (1-5),,
2021,MA,Maranhão,2101905,Bequimão,21003009,UNIDADE INTEGRADA AREAL - ANEXO RAMAL AREAL,-2.50955346040428,-44.8952786810696,iniciais (1-5),,3.6
2005,MA,Maranhão,2101905,Bequimão,21003009,UNIDADE INTEGRADA AREAL - ANEXO RAMAL AREAL,-2.50955346040428,-44.8952786810696,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21003009,UNIDADE INTEGRADA AREAL - ANEXO RAMAL AREAL,-2.50955346040428,-44.8952786810696,iniciais (1-5),,
2025,MA,Maranhão,2101905,Bequimão,21003025,ESCOLA MUNICIPAL PEDRO SILVA,-2.4498932948336,-44.7921075951308,iniciais (1-5),,
2019,MA,Maranhão,2101905,Bequimão,21003033,ESCOLA MUNICIPAL PROTAZIA RODRIGUES SOARES,-2.47751422226429,-44.7681223601103,iniciais (1-5),,
2015,MA,Maranhão,2101905,Bequimão,21003033,ESCOLA MUNICIPAL PROTAZIA RODRIGUES SOARES,-2.47751422226429,-44.7681223601103,finais (6-9),,
2009,MA,Maranhão,2101905,Bequimão,21003033,ESCOLA MUNICIPAL PROTAZIA RODRIGUES SOARES,-2.47751422226429,-44.7681223601103,iniciais (1-5),,
2007,MA,Maranhão,2101905,Bequimão,21003050,UNIDADE ESCOLAR ESTADO MINAS GERAIS,-2.4494209,-44.7839079,finais (6-9),,
2017,MA,Maranhão,2101905,Bequimão,21003050,UNIDADE ESCOLAR ESTADO MINAS GERAIS,-2.4494209,-44.7839079,finais (6-9),,4.3
2025,MA,Maranhão,2101905,Bequimão,21003157,UE LILIOSA CANTANHEDE,,,finais (6-9),,
2013,MA,Maranhão,2101905,Bequimão,21003157,UE LILIOSA CANTANHEDE,,,finais (6-9),,3.8
2021,MA,Maranhão,2101905,Bequimão,21003157,UE LILIOSA CANTANHEDE,,,finais (6-9),,5.0
2015,MA,Maranhão,2101905,Bequimão,21003157,UE LILIOSA CANTANHEDE,,,finais (6-9),,4.2
2011,MA,Maranhão,2101905,Bequimão,21003173,CENTRO DE ENSINO MANOEL BECKMAN,-2.4515756,-44.78450306,finais (6-9),,3.9
2013,MA,Maranhão,2101905,Bequimão,21003173,CENTRO DE ENSINO MANOEL BECKMAN,-2.4515756,-44.78450306,finais (6-9),,4.3
2019,MA,Maranhão,2101905,Bequimão,21003173,CENTRO DE ENSINO MANOEL BECKMAN,-2.4515756,-44.78450306,finais (6-9),,5.1
2021,MA,Maranhão,2102408,Cajapió,21003262,EM DENIZARD ALMEIDA E SILVA,-2.85979320289441,-44.7575547562751,iniciais (1-5),,4.4
2007,MA,Maranhão,2102408,Cajapió,21003262,EM DENIZARD ALMEIDA E SILVA,-2.85979320289441,-44.7575547562751,iniciais (1-5),,
2005,MA,Maranhão,2102408,Cajapió,21003262,EM DENIZARD ALMEIDA E SILVA,-2.85979320289441,-44.7575547562751,finais (6-9),,
2023,MA,Maranhão,2101350,Bacurituba,21003297,EM DR DEUSDETH CORTEZ VIEIRA DA SILVA,-2.7741837,-44.7280302,iniciais (1-5),,
2025,MA,Maranhão,2102408,Cajapió,21003475,EM LEDA TAJRA,-2.8679587,-44.6863062,iniciais (1-5),,
2007,MA,Maranhão,2102408,Cajapió,21003475,EM LEDA TAJRA,-2.8679587,-44.6863062,iniciais (1-5),,
2013,MA,Maranhão,2101350,Bacurituba,21003513,EM MIGUEL ARCANGELO MENDES,-2.77241497300565,-44.692430505529,iniciais (1-5),,3.8
2013,MA,Maranhão,2102408,Cajapió,21003645,EM SAO JOAO BATISTA,-2.84588168534953,-44.7699442734643,iniciais (1-5),,2.9
2025,MA,Maranhão,2102408,Cajapió,21003645,EM SAO JOAO BATISTA,-2.84588168534953,-44.7699442734643,iniciais (1-5),,
2023,MA,Maranhão,2102408,Cajapió,21003645,EM SAO JOAO BATISTA,-2.84588168534953,-44.7699442734643,iniciais (1-5),,
2021,MA,Maranhão,2102408,Cajapió,21003947,CENTRO DE ENSINO PAULO CORDEIRO FILHO,-2.87705326918513,-44.6744570229203,finais (6-9),,4.7
2011,MA,Maranhão,2102408,Cajapió,21003955,CENTRO DE ENSINO MUNICIPAL JOSE CAETANO VAZ,-2.8802325,-44.6747932,iniciais (1-5),,3.8
2021,MA,Maranhão,2102408,Cajapió,21003955,CENTRO DE ENSINO MUNICIPAL JOSE CAETANO VAZ,-2.8802325,-44.6747932,iniciais (1-5),,5.3
2009,MA,Maranhão,2109056,Porto Rico do Maranhão,21004137,CEF CLODOMIR PAZ,-1.9600071,-44.67629828,iniciais (1-5),,
2005,MA,Maranhão,2109056,Porto Rico do Maranhão,21004285,CEF MARIA DA GRACA FONSECA PAZ,-1.8964027,-44.6209068,finais (6-9),,
2019,MA,Maranhão,2109056,Porto Rico do Maranhão,21004404,CEF WALTER MAGALHAES BRAGA,-1.91884898,-44.62369771,iniciais (1-5),,5.3
2023,MA,Maranhão,2109056,Porto Rico do Maranhão,21004404,CEF WALTER MAGALHAES BRAGA,-1.91884898,-44.62369771,iniciais (1-5),,
2023,MA,Maranhão,2103109,Cedral,21004420,ESCOLA MUNICIPAL TEREZA MARTINS,-1.99903788,-44.57439638,finais (6-9),,
2013,MA,Maranhão,2103109,Cedral,21004420,ESCOLA MUNICIPAL TEREZA MARTINS,-1.99903788,-44.57439638,iniciais (1-5),,4.5
2011,MA,Maranhão,2103109,Cedral,21004439,ESCOLA MUNICIPAL BENEVENUTO MATOS,-1.96451542,-44.50612991,finais (6-9),,3.4
